EnterpriseId,ServiceId,AgeCategoryId,Name,MinimalAge,MaximalAge,ShortName,Classification
16ebe364-cd4e-4bb9-9f6e-ad600048a67b,7ee76999-fef5-4ae4-90df-adac006e1cfc,a67edaeb-621d-4a80-a169-ade400cf7c58,Adults,,,,Adult
16ebe364-cd4e-4bb9-9f6e-ad600048a67b,9c7a79d0-ed74-495f-ab0a-adac006d3ebb,dc65ee67-3c90-4494-9ff0-ade400cf7c58,Adults,,,,Adult
16ebe364-cd4e-4bb9-9f6e-ad600048a67b,9c7a79d0-ed74-495f-ab0a-adac006d3ebb,470561c4-774a-4f50-9eea-ade400cf7c58,Children,0,18,,Child
16ebe364-cd4e-4bb9-9f6e-ad600048a67b,b97c9572-9b6d-45b1-95f9-adac006f6010,440da9db-e475-4eba-961b-ade400cf7c58,Children,0,18,,Child
16ebe364-cd4e-4bb9-9f6e-ad600048a67b,7ee76999-fef5-4ae4-90df-adac006e1cfc,28b821f3-c55e-47a9-89e4-ade400cf7c58,Children,0,18,,Child
0e7c7c8a-db88-4bbc-80d7-ada6003c62ee,c62deb65-6abf-489a-a13d-ada6003c681f,a7c0c402-a532-42d8-9dbe-ade400cf7c57,Children,0,18,,Child
0e7c7c8a-db88-4bbc-80d7-ada6003c62ee,c62deb65-6abf-489a-a13d-ada6003c681f,139a4f7a-0cbf-4817-9d43-ade400cf7c57,Adults,,,,Adult
5fed04ae-bfe5-497c-b516-ad96008c9453,e97949c2-bf19-4a0f-aabf-ada2018b223f,bad669c8-d3be-48fe-9fc0-ade400cf7c56,Adults,,,,Adult
5fed04ae-bfe5-497c-b516-ad96008c9453,e97949c2-bf19-4a0f-aabf-ada2018b223f,7569b538-8cd4-4ba4-94bf-ade400cf7c56,Children,0,18,,Child
c9126206-53db-4b93-90fb-ad9d00427404,17781eae-9aa3-4f56-96cf-ad9d004278ec,7c82eb53-c44f-44e7-bd0f-ade400cf7b50,Adults,,,,Adult
c772eae2-f559-46a7-9b90-ad9d003efe8c,9461c275-d4db-42b2-8a1f-ad9d003f0e95,8cdbdf54-4cc4-45e9-bb31-ade400cf7b50,Adults,,,,Adult
c9126206-53db-4b93-90fb-ad9d00427404,17781eae-9aa3-4f56-96cf-ad9d004278ec,60a171b7-f6c1-445e-b9ae-ade400cf7b50,Children,0,18,,Child
c772eae2-f559-46a7-9b90-ad9d003efe8c,9461c275-d4db-42b2-8a1f-ad9d003f0e95,4aedae5d-aff3-4e78-afba-ade400cf7b50,Children,0,18,,Child
5fed04ae-bfe5-497c-b516-ad96008c9453,149e0808-6813-4d79-be7d-ad96008c9fa0,5edac7dc-2074-4aab-b9cf-ade400cf7b4f,Children,0,18,,Child
9b804fff-4c31-4c36-8853-ad96008a27bc,91c7288d-d0a5-41f8-b279-ad96008a38fd,127e79a5-ca5e-4dc0-b2ff-ade400cf7b4f,Children,0,18,,Child
5fed04ae-bfe5-497c-b516-ad96008c9453,149e0808-6813-4d79-be7d-ad96008c9fa0,cad5aa10-59ed-47c6-a523-ade400cf7b4f,Adults,,,,Adult
9b804fff-4c31-4c36-8853-ad96008a27bc,91c7288d-d0a5-41f8-b279-ad96008a38fd,3b29b4ef-5d6d-4934-9da2-ade400cf7b4f,Adults,,,,Adult
2c99e4aa-1e97-4774-8fd6-ad8f005a7f70,bc3dda17-5328-460c-818b-ad8f005a8dce,8d46580c-f278-4c73-b1e5-ade400cf7a37,Children,0,18,,Child
2c99e4aa-1e97-4774-8fd6-ad8f005a7f70,bc3dda17-5328-460c-818b-ad8f005a8dce,baf3ee51-5f55-4f79-9db1-ade400cf7a37,Adults,,,,Adult
